id,proba
10001,0.15762747605776273
10002,0.09471358345546958
10003,0.10964278887682243
10004,0.036096859088931885
10005,0.8479730048680741
10006,0.2531478317291242
10007,0.08526893237948512
10008,0.22151273236813873
10009,0.07352704612951992
10010,0.06923320657337269
10011,0.34227339794133055
10012,0.2972323349411577
10013,0.10462507766124444
10014,0.36449958629284346
10015,0.4193887490865498
10016,0.01921895295881835
10017,0.4989717829063316
10018,0.5697077334335497
10019,0.07594470610782096
10020,0.1263887177588325
10021,0.015043233562669922
10022,0.7806771054057313
10023,0.3072354690890018
10024,0.7661531224941919
10025,0.056094204395886416
10026,0.5837460629771728
10027,0.11728511872985105
10028,0.07454453151045536
10029,0.19626863744358486
10030,0.7236713590506583
10031,0.2355886809233809
10032,0.6503109276224761
10033,0.47885412877073597
10034,0.04282536224623668
10035,0.05421974090222764
10036,0.05524366888569072
10037,0.021436414817153707
10038,0.10075735800995023
10039,0.02976111602326097
10040,0.18514436040800888
10041,0.19881202325640512
10042,0.22542796519039313
10043,0.18035790035091828
10044,0.8715911645608397
10045,0.8313093115288075
10046,0.3709336396873596
10047,0.31513214275091006
10048,0.049491501797350054
10049,0.262017815962416
10050,0.440227344095271
10051,0.3181953956106323
10052,0.01935601559170969
10053,0.19090027836536766
10054,0.134850562656831
10055,0.2938034018985241
10056,0.007299930911060135
10057,0.09953191865776082
10058,0.2953345614212898
10059,0.22559613126775988
10060,0.23900376076644714
10061,0.5176630114279045
10062,0.04659235616432857
10063,0.21977750439216326
10064,0.921780692465519
10065,0.2838965189033645
10066,0.20580732755587525
10067,0.09154057365838042
10068,0.177474539714979
10069,0.08003931280432182
10070,0.11985159646819435
10071,0.012392626498244646
10072,0.5877272515981705
10073,0.05160690113079658
10074,0.04498909478061004
10075,0.12002694889942275
10076,0.6881166573005639
10077,0.2546226951791405
10078,0.46483735329214115
10079,0.013013364783743294
10080,0.14679730872569352
10081,0.5619731184773508
10082,0.5026789334774789
10083,0.18079923872572234
10084,0.19053273504361437
10085,0.18052446710687936
10086,0.018483902527204756
10087,0.01595349551757877
10088,0.1276888140639649
10089,0.2813471543260414
10090,0.5537708424036597
10091,0.6304201224177423
10092,0.7714076997695657
10093,0.1282472873935002
10094,0.06396174415188294
10095,0.03921560180608911
10096,0.49417419943830965
10097,0.2946928764009267
10098,0.33424004910181887
10099,0.38368395385304704
10100,0.5355127700807392
10101,0.028023402067600157
10102,0.02235789937979523
10103,0.3268453838062674
10104,0.3189712846726627
10105,0.34986359699876624
10106,0.4585732913853161
